鉄道事業者,路線,駅1,駅2,経度1,緯度1,経度2,緯度2,フラグ,value
東日本旅客鉄道,中央線,新宿,大久保,139.698615,35.68843,139.697445,35.700635,22,
東日本旅客鉄道,中央線,大久保,東中野,139.697445,35.700635,139.68325,35.70737,22,
東日本旅客鉄道,中央線,東中野,中野,139.68325,35.70737,139.665585,35.705955,22,
東日本旅客鉄道,中央線,中野,高円寺,139.665585,35.705955,139.64992,35.70533,22,
東日本旅客鉄道,中央線,高円寺,阿佐ヶ谷,139.64992,35.70533,139.6369,35.7049,22,
東日本旅客鉄道,中央線,阿佐ヶ谷,荻窪,139.6369,35.7049,139.620245,35.70443,22,
東日本旅客鉄道,中央線,荻窪,西荻窪,139.620245,35.70443,139.59963,35.70379,22,
東日本旅客鉄道,中央線,西荻窪,吉祥寺,139.59963,35.70379,139.58035,35.70316,22,
東日本旅客鉄道,中央線,吉祥寺,三鷹,139.58035,35.70316,139.56067,35.70269,22,
東日本旅客鉄道,中央線,三鷹,武蔵境,139.56067,35.70269,139.543555,35.70209,22,
東日本旅客鉄道,中央線,武蔵境,東小金井,139.543555,35.70209,139.52376,35.70156,22,
東日本旅客鉄道,中央線,東小金井,武蔵小金井,139.52376,35.70156,139.50593,35.701035,22,
東日本旅客鉄道,中央線,武蔵小金井,国分寺,139.50593,35.701035,139.48002,35.70011,22,
東日本旅客鉄道,中央線,国分寺,西国分寺,139.48002,35.70011,139.46577,35.69972,22,
東日本旅客鉄道,中央線,西国分寺,国立,139.46577,35.69972,139.446415,35.699195,22,
東日本旅客鉄道,中央線,国立,立川,139.446415,35.699195,139.41505,35.69803,22,
東日本旅客鉄道,中央線,立川,日野,139.41505,35.69803,139.39365,35.67896,22,
東日本旅客鉄道,中央線,日野,豊田,139.39365,35.67896,139.3814,35.65942,22,
東日本旅客鉄道,中央線,豊田,八王子,139.3814,35.65942,139.339,35.65547,22,
東日本旅客鉄道,中央線,八王子,西八王子,139.339,35.65547,139.312005,35.656275,22,
東日本旅客鉄道,中央線,西八王子,高尾,139.312005,35.656275,139.282635,35.642375,22,
東日本旅客鉄道,中央線,高尾,相模湖,139.282635,35.642375,139.188525,35.617315,22,
東日本旅客鉄道,中央線,相模湖,藤野,139.188525,35.617315,139.15133,35.615995,22,
東日本旅客鉄道,中央線,藤野,上野原,139.15133,35.615995,139.115405,35.618445,22,
東日本旅客鉄道,中央線,上野原,四方津,139.115405,35.618445,139.07339,35.61413,22,
東日本旅客鉄道,中央線,四方津,梁川,139.07339,35.61413,139.0373,35.606265,22,
東日本旅客鉄道,中央線,梁川,鳥沢,139.0373,35.606265,139.003485,35.60804,22,
東日本旅客鉄道,中央線,鳥沢,猿橋,139.003485,35.60804,138.96701,35.61239,22,
東日本旅客鉄道,中央線,猿橋,大月,138.96701,35.61239,138.94133,35.61274,22,
富士山麓電気鉄道,河口湖線,富士山,富士急ハイランド,138.794835,35.48359,138.78191,35.48949,1,
富士山麓電気鉄道,河口湖線,富士急ハイランド,河口湖,138.78191,35.48949,138.76938,35.49798,1,
富士山麓電気鉄道,大月線,大月,上大月,138.94133,35.61274,138.93807,35.6094,1,
富士山麓電気鉄道,大月線,上大月,田野倉,138.93807,35.6094,138.931205,35.593475,1,
富士山麓電気鉄道,大月線,田野倉,禾生,138.931205,35.593475,138.92924,35.575195,1,
富士山麓電気鉄道,大月線,禾生,赤坂,138.92924,35.575195,138.916075,35.566045,1,
富士山麓電気鉄道,大月線,赤坂,都留市,138.916075,35.566045,138.907455,35.557205,1,
富士山麓電気鉄道,大月線,都留市,谷村町,138.907455,35.557205,138.90463,35.5506,1,
富士山麓電気鉄道,大月線,谷村町,都留文科大学前,138.90463,35.5506,138.89663,35.542585,1,
富士山麓電気鉄道,大月線,都留文科大学前,十日市場,138.89663,35.542585,138.887465,35.53887,1,
富士山麓電気鉄道,大月線,十日市場,東桂,138.887465,35.53887,138.87045,35.536245,1,
富士山麓電気鉄道,大月線,東桂,三つ峠,138.87045,35.536245,138.84507,35.52414,1,
富士山麓電気鉄道,大月線,三つ峠,寿,138.84507,35.52414,138.82557,35.50845,1,
富士山麓電気鉄道,大月線,寿,葭池温泉前,138.82557,35.50845,138.812175,35.50216,1,
富士山麓電気鉄道,大月線,葭池温泉前,下吉田,138.812175,35.50216,138.803765,35.497965,1,
富士山麓電気鉄道,大月線,下吉田,月江寺,138.803765,35.497965,138.79798,35.493325,1,
富士山麓電気鉄道,大月線,月江寺,富士山,138.79798,35.493325,138.794835,35.48359,1,
